trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.02, 'e': 0.9868259031903286}",25,13,3.187488799775862,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.02, 'e': 0.9858374315553413}",25,0,-110.64315381111093,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.02, 'e': 0.9836641713227284}",25,0,-61.01018605859845,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.02, 'e': 0.981337215564606}",20,0,-156.20392778242007,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.02, 'e': 0.9793652337014547}",20,0,-73.11149013235402,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.02, 'e': 0.9772953161310682}",25,0,-199.85824849550474,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.02, 'e': 0.974570513346983}",20,0,-212.21933051816967,"{0: 9, 1: 4, 2: 2, 3: 1, 4: 4}",0
21,False,"{'a': 0.02, 'e': 0.9722810121288076}",20,0,-49.022035279728314,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.02, 'e': 0.9698942836196508}",30,0,-135.6316167192328,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
23,False,"{'a': 0.02, 'e': 0.966132414430519}",25,0,-196.4330457231758,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
24,False,"{'a': 0.02, 'e': 0.9628314351527827}",25,0,-165.89411771507656,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
25,False,"{'a': 0.02, 'e': 0.959380015422179}",25,0,-93.34661257751814,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.02, 'e': 0.9557786945160192}",20,0,-107.52225243298447,"{0: 8, 1: 2, 2: 9, 3: 1, 4: 0}",0
27,False,"{'a': 0.02, 'e': 0.9527900862937179}",20,0,-66.35255869380852,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
28,False,"{'a': 0.02, 'e': 0.9497061998567763}",30,0,-179.98445233172262,"{0: 18, 1: 2, 2: 5, 3: 3, 4: 2}",0
29,False,"{'a': 0.02, 'e': 0.9449024007411221}",20,0,-138.50455531546365,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
30,False,"{'a': 0.02, 'e': 0.9415816887224634}",25,4,-88.26120006303239,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 1}",1
31,False,"{'a': 0.02, 'e': 0.937993610303448}",25,0,-20.56691652277767,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.02, 'e': 0.9335872865347074}",25,0,-92.33550310746487,"{0: 15, 1: 4, 2: 3, 3: 3, 4: 0}",0
33,False,"{'a': 0.02, 'e': 0.9290350916518241}",20,0,-55.83601165444779,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
34,False,"{'a': 0.02, 'e': 0.9252887857545801}",30,5,-98.8413770512213,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",1
35,False,"{'a': 0.02, 'e': 0.9204758305150459}",25,0,-89.80089583227857,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
36,False,"{'a': 0.02, 'e': 0.9155190527996969}",35,0,-187.18008295405477,"{0: 18, 1: 7, 2: 7, 3: 1, 4: 2}",0
37,False,"{'a': 0.02, 'e': 0.9083394211194544}",25,0,-95.76364937677621,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
38,False,"{'a': 0.02, 'e': 0.903040671899395}",25,0,-137.9097329597671,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
39,False,"{'a': 0.02, 'e': 0.8976008244115826}",25,0,-128.1107637108508,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
40,False,"{'a': 0.02, 'e': 0.89202072862112}",25,0,-50.98977397171657,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
41,False,"{'a': 0.02, 'e': 0.8863012564066217}",20,0,-121.62223865987868,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
42,False,"{'a': 0.02, 'e': 0.881625927418312}",25,0,-193.99092872488797,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
43,False,"{'a': 0.02, 'e': 0.87565784419869}",20,0,-144.08617625271063,"{0: 7, 1: 4, 2: 7, 3: 1, 4: 1}",0
44,False,"{'a': 0.02, 'e': 0.8707848219186876}",20,0,-181.11601476173138,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
45,False,"{'a': 0.02, 'e': 0.8658247218821448}",30,0,-119.86126045460588,"{0: 17, 1: 4, 2: 6, 3: 3, 4: 0}",0
46,False,"{'a': 0.02, 'e': 0.8582223884154829}",35,0,-160.0962615387456,"{0: 20, 1: 4, 2: 8, 3: 2, 4: 1}",0
47,False,"{'a': 0.02, 'e': 0.8491090694781162}",20,9,-38.26661381648572,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
